kind,resid_rms,resid_offset,g_T,b_T,d_alpha_T_read,delta_T,g_H,b_H,d_alpha_H_read,delta_H,g_P,b_P,d_alpha_P_read,delta_P
joint_vertex,1.9321588625809953e-07,1.1601699666430295e-06,1.0,-1.0,-3.600359318309037e-09,-4.940076839280744e-10,1.3032026241429062,-0.6452332270136241,3.756137285944559e-09,-5.772680416386468e-10,0.9525721136793044,0.03271033745252472,2.5103800471311865e-09,1.1578504892737023e-10
joint_vertex,1.9320972880976573e-07,1.1620338253324414e-06,1.0,-1.0,-3.6082613586916215e-09,-5.01909724310659e-10,1.3032026241429062,-0.6452332270136241,3.7566571927695515e-09,-5.767481348136546e-10,1.0,-1.0,2.413399557750842e-09,1.880455954702558e-11
joint_vertex,1.9320094107867976e-07,1.16004223662816e-06,1.0,-1.0,-3.600979125270995e-09,-4.946274908900324e-10,1.3032026241429062,-0.6452332270136241,3.756922300219518e-09,-5.764830273636878e-10,1.0474278863206956,-0.03271033745252461,2.3252098789722694e-09,-6.938511923154681e-11
joint_vertex,1.9231185529366877e-07,1.1593792065674822e-06,1.116929326443244,-0.1251581552270682,-1.9648669069927867e-09,1.1414847273881758e-09,1.0,4.0,4.424012192010808e-09,9.060686442760172e-11,1.0,1.0,2.3587593206634076e-09,-3.583567754040858e-11
joint_vertex,1.9232305201724252e-07,1.1613859578198453e-06,1.116929326443244,-0.1251581552270682,-1.97148047086993e-09,1.1348711635110327e-09,1.0,4.0,4.4237752681615535e-09,9.036994057834743e-11,0.9525721136793044,0.03271033745252472,2.456099414012398e-09,6.150441580858163e-11
joint_vertex,1.9231490309517453e-07,1.1632580212585507e-06,1.116929326443244,-0.1251581552270682,-1.9786895397445256e-09,1.1276620946364369e-09,1.0,4.0,4.424290735357344e-09,9.088540777413835e-11,1.0,-1.0,2.3587747665195826e-09,-3.582023168423359e-11
joint_vertex,1.923054401773833e-07,1.161257352170841e-06,1.116929326443244,-0.1251581552270682,-1.9720452322758266e-09,1.1343064021051359e-09,1.0,4.0,4.424493632323908e-09,9.108830474070177e-11,1.0474278863206956,-0.03271033745252461,2.270248746668838e-09,-1.2434625153497831e-10
joint_vertex,1.9272611018874864e-07,1.1650304332833832e-06,1.116929326443244,-0.1251581552270682,-2.527296766260214e-09,5.790548681207486e-10,0.6967973758570938,0.6452332270136232,5.148267672268791e-09,8.148623446855847e-10,1.0,1.0,2.315345515192688e-09,-7.924948301112837e-11
joint_vertex,1.9273418208177977e-07,1.167037650709286e-06,1.116929326443244,-0.1251581552270682,-2.5338837514290818e-09,5.724678829518807e-10,0.6967973758570938,0.6452332270136232,5.148096841004147e-09,8.146915134209412e-10,0.9525721136793044,0.03271033745252472,2.4127146368202656e-09,1.811963861644942e-11
joint_vertex,1.9273009985886123e-07,1.1689101657959355e-06,1.116929326443244,-0.1251581552270682,-2.541073860406378e-09,5.652777739745844e-10,0.6967973758570938,0.6452332270136232,5.148678466166927e-09,8.152731385837209e-10,1.0,-1.0,2.3153657434929154e-09,-7.922925471090083e-11
joint_vertex,1.9272343478761815e-07,1.1669090311897149e-06,1.116929326443244,-0.1251581552270682,-2.534455785142057e-09,5.718958492389053e-10,0.6967973758570938,0.6452332270136232,5.148815272062727e-09,8.154099444795208e-10,1.0474278863206956,-0.03271033745252461,2.226813112652477e-09,-1.6778188555133908e-10
joint_vertex,1.9325656245865941e-07,1.1724703350253604e-06,1.116929326443244,-0.1251581552270682,-3.077572790632517e-09,2.8778843748445646e-11,1.0,-4.0,4.458937286801963e-09,1.25531959218757e-10,1.0,1.0,2.4255670042681087e-09,3.097200606429244e-11
joint_vertex,1.932662320698307e-07,1.1744783346500323e-06,1.116929326443244,-0.1251581552270682,-3.0841482076399388e-09,2.220342674102374e-11,1.0,-4.0,4.4587034097754685e-09,1.252980821922624e-10,0.9525721136793044,0.03271033745252472,2.5229625684740737e-09,1.2836757027025746e-10
joint_vertex,1.9326047104769543e-07,1.1763515449965409e-06,1.116929326443244,-0.1251581552270682,-3.0913165609694776e-09,1.50350734114849e-11,1.0,-4.0,4.459217477219112e-09,1.2581214963590597e-10,1.0,-1.0,2.425581862417779e-09,3.0986864213962635e-11
joint_vertex,1.9325235467555108e-07,1.1743496321258689e-06,1.116929326443244,-0.1251581552270682,-3.084710502649375e-09,2.1641131731587436e-11,1.0,-4.0,4.45941753290893e-09,1.2601220532572414e-10,1.0474278863206956,-0.03271033745252461,2.3370054158892766e-09,-5.758958231453965e-11
joint_vertex,1.9281817615407723e-07,1.1663764440545035e-06,1.116929326443244,-0.1251581552270682,-2.5210115576265397e-09,5.853400767544228e-10,1.3032026241429062,-0.6452332270136241,4.062599785547267e-09,-2.7080554203593944e-10,1.0,1.0,2.433002175260421e-09,3.8407177056604685e-11
joint_vertex,1.9282986654596586e-07,1.1683839026806246e-06,1.116929326443244,-0.1251581552270682,-2.527610148049215e-09,5.787414863317475e-10,1.3032026241429062,-0.6452332270136241,4.062329820374768e-09,-2.710755072084378e-10,0.9525721136793044,0.03271033745252472,2.5303692442098242e-09,1.35774246006008e-10
joint_vertex,1.9282139232425752e-07,1.1702566035390537e-06,1.116929326443244,-0.1251581552270682,-2.534798241885167e-09,5.715533924957956e-10,1.3032026241429062,-0.6452332270136241,4.062808781333999e-09,-2.7059654624920743e-10,1.0,-1.0,2.4330145817771456e-09,3.841958357332941e-11
joint_vertex,1.928114709779176e-07,1.168255230243342e-06,1.116929326443244,-0.1251581552270682,-2.528169162181939e-09,5.781824721990235e-10,1.3032026241429062,-0.6452332270136241,4.0630448837247714e-09,-2.703604438584346e-10,1.0474278863206956,-0.03271033745252461,2.3444641639051915e-09,-5.0130834298624676e-11
channel_only_T,1.9301482199423554e-07,1.1713146209469553e-06,1.0,1.0,-2.6606967663205894e-09,4.456548680603731e-10,1.0,0.0,4.58611996381522e-09,2.527146362320137e-10,1.0,0.0,2.431213086897119e-09,3.6618088693302574e-11
channel_only_T,1.9343840288441113e-07,1.1631954190176426e-06,0.883070673556756,0.1251581552270682,-3.863490292727136e-09,-7.571386583461731e-10,1.0,0.0,4.186296750909361e-09,-1.4710857667384534e-10,1.0,0.0,2.4010898754794384e-09,6.494877275622202e-12
channel_only_T,1.9307002495360264e-07,1.1599053241715159e-06,1.0,-1.0,-3.608960921011061e-09,-5.026092866300986e-10,1.0,0.0,4.040646040743199e-09,-2.927592868400072e-10,1.0,0.0,2.3568302696633857e-09,-3.7764728540430566e-11
channel_only_T,1.9277601139952892e-07,1.167845155443894e-06,1.116929326443244,-0.1251581552270682,-2.5300339044707704e-09,5.763177299101921e-10,1.0,0.0,4.4416273942564165e-09,1.0822206667321046e-10,1.0,0.0,2.392208968065246e-09,-2.386030138570046e-12
channel_only_H,1.924584609539967e-07,1.1597974655341325e-06,1.0,0.0,-2.4765818531724985e-09,6.29769781208464e-10,1.0,4.0,4.313699397182598e-09,-1.9705930400608112e-11,1.0,0.0,2.3530628417403226e-09,-4.1532156463493584e-11
channel_only_H,1.929204347845358e-07,1.1651371752532302e-06,1.0,0.0,-3.0980614618968883e-09,8.29017248407416e-12,0.6967973758570938,0.6452332270136232,4.992122238511902e-09,6.587169109286956e-10,1.0,0.0,2.30803687099471e-09,-8.655812720910616e-11
channel_only_H,1.9364416886694437e-07,1.1719583756191413e-06,1.0,0.0,-3.731792326793553e-09,-6.254406924125904e-10,1.0,-4.0,4.353081186323732e-09,1.967585874052595e-11,1.0,0.0,2.4360311495614175e-09,4.1436151357601316e-11
